Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Cloners),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Impact),Custom field (Issue color),Custom field (Rank),Custom field (Request Type),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field ([CHART] Date of First Response),Status Category
Verify whether the Shipping Group By and Order Status are filtered in the result,UN-66,10091,Test,Done,UN,Uniform,software,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,Medium,Done,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,06/Sep/21 7:05 AM,07/Sep/21 11:24 AM,09/Sep/21 5:04 AM,07/Sep/21 11:24 AM,,0,,,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,,,,,,,,,,,,,,UN-24,UN-53,,,,,,,,,,,{},,,,,,,0|i0008w:yf,,UN Sprint 1,,,,,,,,In Progress
"Shipping section must show the Date Start, Date End, Shipping title, No. Orders and Total in result",UN-65,10090,Test,Done,UN,Uniform,software,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,Medium,Done,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,06/Sep/21 7:01 AM,07/Sep/21 11:25 AM,09/Sep/21 5:04 AM,07/Sep/21 11:25 AM,,0,,,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,,,,,,,,,,,,,,UN-41,UN-52,,,,,,,,,,,{},,,,,,,0|i0008w:yd,,UN Sprint 1,,,,,,,,In Progress
Verify whether the Shipping 'Order Status' field shows dropdown box on clicking,UN-64,10089,Test,Done,UN,Uniform,software,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,Medium,Done,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,06/Sep/21 6:40 AM,07/Sep/21 11:24 AM,09/Sep/21 5:04 AM,07/Sep/21 11:24 AM,,0,,,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,,,,,,,,,,,,,,UN-37,UN-51,,,,,,,,,,,{},,,,,,,0|i0008w:y9,,UN Sprint 1,,,,,,,,In Progress
Verify the Shipping 'Order Status' field with multiple selection from the dropdown list,UN-63,10088,Test,Done,UN,Uniform,software,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,Medium,Done,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,06/Sep/21 6:37 AM,07/Sep/21 11:24 AM,09/Sep/21 5:04 AM,07/Sep/21 11:24 AM,,0,,,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,,,,,,,,,,,,,,UN-39,UN-51,,,,,,,,,,,{},,,,,,,0|i0008w:y4,,UN Sprint 1,,,,,,,,In Progress
Verify the Shipping 'Group By' field with whether admin is able to select an option from the dropdown list,UN-62,10087,Test,Done,UN,Uniform,software,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,Medium,Done,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,06/Sep/21 6:21 AM,07/Sep/21 11:24 AM,09/Sep/21 5:04 AM,07/Sep/21 11:24 AM,,0,,,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,,,,,,,,,,,,,,UN-11,UN-50,,,,,,,,,,,{},,,,,,,0|i0008w:y2,,UN Sprint 1,,,,,,,,In Progress
"Verify that on clicking the Shipping 'Group By' field, admin sees the dropdown list",UN-61,10086,Test,Done,UN,Uniform,software,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,Medium,Done,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,06/Sep/21 6:17 AM,07/Sep/21 11:26 AM,09/Sep/21 5:04 AM,07/Sep/21 11:26 AM,,0,,,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,,,,,,,,,,,,,,UN-10,UN-50,,,,,,,,,,,{},,,,,,,0|i0008w:y1,,UN Sprint 1,,,,,,,,In Progress
Verify the shipping 'Date End' field if it is taking dates prior to the Start Date,UN-60,10085,Test,blocked,UN,Uniform,software,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,Medium,,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,06/Sep/21 6:11 AM,07/Sep/21 10:33 AM,09/Sep/21 3:03 AM,,,0,,,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,,,,,,,,,,,,,,UN-47,UN-49,,,,,,,,,,,{},,,,,,,0|i0008w:y,,UN Sprint 1,,,,,,,,In Progress
Verify the Shipping 'Date End' field with selecting a date from the calendar,UN-59,10084,Test,Done,UN,Uniform,software,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,Medium,Done,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,06/Sep/21 6:08 AM,07/Sep/21 11:25 AM,09/Sep/21 5:04 AM,07/Sep/21 11:25 AM,,0,,,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,,,,,,,,,,,,,,UN-8,UN-49,,,,,,,,,,,{},,,,,,,0|i0008w:x,,UN Sprint 1,,,,,,,,In Progress
Verify the Shipping 'Date End' field with whether the calendar displays on clicking on the calendar icon,UN-58,10083,Test,Done,UN,Uniform,software,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,Medium,Done,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,06/Sep/21 6:06 AM,07/Sep/21 11:27 AM,09/Sep/21 5:04 AM,07/Sep/21 11:27 AM,,0,,,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,,,,,,,,,,,,,,UN-9,UN-49,,,,,,,,,,,{},,,,,,,0|i0008w:v,,UN Sprint 1,,,,,,,,In Progress
Verify the shipping 'Date start' field with future dates,UN-57,10082,Test,blocked,UN,Uniform,software,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,Medium,,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,06/Sep/21 6:00 AM,07/Sep/21 10:37 AM,09/Sep/21 5:04 AM,,,0,,,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,,,,,,,,,,,,,,UN-44,UN-48,,,,,,,,,,,{},,,,,,,0|i0008w:r,,UN Sprint 1,,,,,,,,In Progress
Verify that the Shipping 'Date Start' field with manually entered date in a proper format,UN-56,10081,Test,Done,UN,Uniform,software,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,Medium,Done,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,06/Sep/21 5:58 AM,07/Sep/21 11:26 AM,09/Sep/21 5:04 AM,07/Sep/21 11:26 AM,,0,,,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,,,,,,,,,,,,,,UN-31,UN-48,,,,,,,,,,,{},,,,,,,0|i0008w:d,,UN Sprint 1,,,,,,,,In Progress
Verify the Shipping 'Date Start' field with selecting a date from the calendar,UN-55,10080,Test,Done,UN,Uniform,software,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,Medium,Done,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,06/Sep/21 5:55 AM,07/Sep/21 11:28 AM,09/Sep/21 5:04 AM,07/Sep/21 11:28 AM,,0,,,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,,,,,,,,,,,,,,UN-7,UN-48,,,,,,,,,,,{},,,,,,,0|i0008w:b,,UN Sprint 1,,,,,,,,In Progress
Verify the Shipping 'Date Start' field with whether the calendar displays on clicking on the calendar icon,UN-54,10079,Test,Done,UN,Uniform,software,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,Medium,Done,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,06/Sep/21 5:52 AM,07/Sep/21 11:28 AM,09/Sep/21 5:04 AM,07/Sep/21 11:28 AM,,0,,,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,,,,,,,,,,,,,,UN-6,UN-48,,,,,,,,,,,{},,,,,,,0|i0008w:9,,UN Sprint 1,,,,,,,,In Progress
"As an admin, I want to filter the Shipping Date Start, Date End, Group By and Order Status fields so that I can get my desired records",UN-53,10078,Story,Done,UN,Uniform,software,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,Medium,Done,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,06/Sep/21 5:22 AM,07/Sep/21 11:31 AM,09/Sep/21 5:04 AM,07/Sep/21 11:31 AM,,0,,,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,UN-1,,,,,0|i0008w:4,,UN Sprint 1,,,,,,,,In Progress
"As an admin, I want to see the Date Start, Date End, Shipping title,  No. Orders and Total in results, so that i can get a clear picture of the details",UN-52,10077,Story,Done,UN,Uniform,software,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,Medium,Done,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,06/Sep/21 5:21 AM,07/Sep/21 11:27 AM,09/Sep/21 5:04 AM,07/Sep/21 11:27 AM,,0,,,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,UN-1,,,,,0|i0008w:,,UN Sprint 1,,,,,,,,In Progress
"As an admin, I want to give Shipping order status so that I can filter all shipments coming under that status",UN-51,10076,Story,Done,UN,Uniform,software,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,Medium,Done,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,06/Sep/21 5:18 AM,07/Sep/21 11:27 AM,09/Sep/21 3:23 AM,07/Sep/21 11:27 AM,,0,,,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,UN-1,,,,,0|i0008q:,,UN Sprint 1,,,,,,,,In Progress
"As an admin, I want to Group By the shipments so that I can access the shipping details for a specified time",UN-50,10075,Story,Done,UN,Uniform,software,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,Medium,Done,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,06/Sep/21 5:17 AM,07/Sep/21 11:27 AM,09/Sep/21 3:22 AM,07/Sep/21 11:27 AM,,0,,,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,UN-1,,,,,0|i0008k:,,UN Sprint 1,,,,,,,,In Progress
"As an admin, I want  to enter Shipping End date, so that I can get all details upto the last shipment",UN-49,10074,Story,blocked,UN,Uniform,software,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,Medium,,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,06/Sep/21 5:15 AM,07/Sep/21 7:44 AM,09/Sep/21 3:20 AM,,,0,,,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,UN-1,,,,,0|i0008d:,,UN Sprint 1,,,,,,,,In Progress
"As an admin, I want to enter Shipping Start date ,so that I can  get the detail of all shipments from the first order",UN-48,10073,Story,blocked,UN,Uniform,software,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,Medium,,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,06/Sep/21 5:14 AM,07/Sep/21 7:41 AM,09/Sep/21 3:18 AM,,,0,,,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,UN-1,,,,,0|i00087:,,UN Sprint 1,,,,,,,,In Progress
Verify the Orders 'Date End' field if it is taking dates prior to the Start Date,UN-47,10072,Test,blocked,UN,Uniform,software,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,Medium,,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,06/Sep/21 5:08 AM,07/Sep/21 9:42 AM,09/Sep/21 3:00 AM,,,0,,,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,,,,,,,,,,,,,,UN-46,UN-3,,,,,,,,,,,{},,,,,,,0|i0007u:,,UN Sprint 1,,,,,,,,In Progress
Verify the Tax 'Date End' field if it is taking dates prior to the Start Date,UN-46,10071,Test,blocked,UN,Uniform,software,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,Medium,,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,06/Sep/21 5:00 AM,07/Sep/21 10:31 AM,09/Sep/21 3:04 AM,,,0,,,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,,,,,,,,,,,,,,UN-45,UN-26,,,,,,,,,,,{},,,,,,,0|i0007n:,,UN Sprint 1,,,,,,,,In Progress
Verify the Tax 'Date start' field with future dates,UN-45,10070,Test,blocked,UN,Uniform,software,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,Medium,,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,06/Sep/21 4:54 AM,07/Sep/21 10:53 AM,08/Sep/21 5:35 AM,,,0,,,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,,,,,,,,,,,,,,UN-44,UN-25,,,,,,,,,,,{},,,,,,,0|i00075:,,UN Sprint 1,,,,,,,,In Progress
Verify the Orders 'Date start' field with future dates,UN-44,10069,Test,blocked,UN,Uniform,software,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,Medium,,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,06/Sep/21 4:49 AM,07/Sep/21 10:40 AM,09/Sep/21 2:58 AM,,,0,,,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,,,,,,,,,,,,,,,UN-2,,,,,,,,,,,{},,,,,,,0|i00074:r,,UN Sprint 1,,,,,,,,In Progress
"As an admin, I want to see the Date Start, Date End, No. Orders, No. products, tax and Total in results, so that i can get a clear picture of the details",UN-43,10068,Story,Done,UN,Uniform,software,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,Medium,Done,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,06/Sep/21 4:44 AM,07/Sep/21 11:28 AM,09/Sep/21 5:04 AM,07/Sep/21 11:28 AM,,0,,,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,UN-1,,,,,0|i0008w:zf9,,UN Sprint 1,,,,,,,,In Progress
"Orders section must show the Date Start, Date End, No. Orders, No. products, tax and Total in the result",UN-42,10067,Test,Done,UN,Uniform,software,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,Medium,Done,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,06/Sep/21 4:30 AM,07/Sep/21 11:28 AM,09/Sep/21 5:04 AM,07/Sep/21 11:28 AM,,0,,,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,,,,,,,,,,,,,,UN-41,UN-43,,,,,,,,,,,{},,,,,,,0|i00074:o,,UN Sprint 1,,,,,,,,In Progress
"Tax section must show the Date Start, Date End, Tax title, No. Orders and Total in result",UN-41,10066,Test,Done,UN,Uniform,software,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,Medium,Done,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,03/Sep/21 10:38 AM,07/Sep/21 11:24 AM,09/Sep/21 5:04 AM,07/Sep/21 11:24 AM,,0,,,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,,,,,,,,,,,,,,,UN-40,,,,,,,,,,,{},,,,,,,0|i00074:m,,UN Sprint 1,,,,,,,,In Progress
"As an admin, I want to see the Date Start, Date End, Tax Title, No.Orders and Total in results, so that i can get a clear picture of the details",UN-40,10065,Story,Done,UN,Uniform,software,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,Medium,Done,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,03/Sep/21 10:34 AM,07/Sep/21 11:24 AM,09/Sep/21 5:04 AM,07/Sep/21 11:24 AM,,0,,,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,UN-1,,,,,0|i0005y:9,,UN Sprint 1,,,,,,,,In Progress
Verify the Tax 'Order Status' field with multiple selection from the dropdown list,UN-39,10064,Test,Done,UN,Uniform,software,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,Medium,Done,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,03/Sep/21 9:11 AM,07/Sep/21 11:31 AM,09/Sep/21 5:04 AM,07/Sep/21 11:31 AM,,0,,,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,,,,,,,,,,,,,,UN-14,UN-28,,,,,,,,,,,{},,,,,,,0|i00074:i,,UN Sprint 1,,,,,,,,In Progress
Verify 'Order Status' field in Tax whether admin is able to select an option from the dropdown,UN-38,10063,Test,Done,UN,Uniform,software,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,Medium,Done,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,03/Sep/21 9:08 AM,07/Sep/21 11:31 AM,09/Sep/21 5:04 AM,07/Sep/21 11:31 AM,,0,,,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,,,,,,,,,,,,,,UN-13,UN-28,,,,,,,,,,,{},,,,,,,0|i00074:9,,UN Sprint 1,,,,,,,,In Progress
Verify whether the Tax 'Order Status' field shows dropdown box on clicking,UN-37,10062,Test,Done,UN,Uniform,software,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,Medium,Done,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,03/Sep/21 9:05 AM,07/Sep/21 11:27 AM,09/Sep/21 5:04 AM,07/Sep/21 11:27 AM,,0,,,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,,,,,,,,,,,,,,UN-12,UN-28,,,,,,,,,,,{},,,,,,,0|i00074:6,,UN Sprint 1,,,,,,,,In Progress
Verify the Tax 'Group By' field with whether admin is able to select an option from the dropdown list,UN-36,10061,Test,Done,UN,Uniform,software,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,Medium,Done,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,03/Sep/21 8:55 AM,07/Sep/21 11:32 AM,08/Sep/21 5:37 AM,07/Sep/21 11:31 AM,,0,,,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,,,,,,,,,,,,,,UN-11,UN-27,,,,,,,,,,,{},,,,,,,0|i00074:4,,UN Sprint 1,,,,,,,,In Progress
"Verify that on clicking the Tax 'Group By' field, admin sees the dropdown list",UN-35,10060,Test,Done,UN,Uniform,software,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,Medium,Done,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,03/Sep/21 8:44 AM,07/Sep/21 11:31 AM,08/Sep/21 5:36 AM,07/Sep/21 11:31 AM,,0,,,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,,,,,,,,,,,,,,UN-10,UN-27,,,,,,,,,,,{},,,,,,,0|i00074:2,,UN Sprint 1,,,,,,,,In Progress
Verify the tax 'Date End' field with whether the calendar displays on clicking on the calendar icon,UN-34,10059,Test,Done,UN,Uniform,software,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,Medium,Done,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,03/Sep/21 8:38 AM,07/Sep/21 11:28 AM,09/Sep/21 5:04 AM,07/Sep/21 11:28 AM,,0,,,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,,,,,,,,,,,,,,UN-9,UN-26,,,,,,,,,,,{},,,,,,,0|i00074:1,,UN Sprint 1,,,,,,,,In Progress
Verify the Tax 'Date End' field with selecting a date from the calendar,UN-33,10058,Test,Done,UN,Uniform,software,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,Medium,Done,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,03/Sep/21 8:35 AM,07/Sep/21 11:31 AM,09/Sep/21 5:04 AM,07/Sep/21 11:31 AM,,0,,,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,,,,,,,,,,,,,,UN-8,UN-26,,,,,,,,,,,{},,,,,,,0|i00074:0i,,UN Sprint 1,,,,,,,,In Progress
Verify that the Tax 'Date Start' field takes manually entered date in the required format,UN-32,10057,Test,Done,UN,Uniform,software,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,Medium,Done,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,03/Sep/21 6:54 AM,07/Sep/21 11:31 AM,08/Sep/21 5:36 AM,07/Sep/21 11:31 AM,,0,,,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,,,,,,,,,,,,,,UN-31,UN-25,,,,,,,,,,,{},,,,,,,0|i0006j:,,UN Sprint 1,,,,,,,,In Progress
Verify that the Orders 'Date Start' field with manually entered date ,UN-31,10056,Test,Done,UN,Uniform,software,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,Medium,Done,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,03/Sep/21 6:44 AM,09/Sep/21 3:17 AM,09/Sep/21 3:17 AM,07/Sep/21 11:23 AM,,0,,,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,,,,,,,,,,,,,,,UN-2,,,,,,,,,,,{},,,,,,,0|i0004o:v9,,UN Sprint 1,,,,,,,,In Progress
Verify the Tax 'Date Start' field with selecting a date from the calendar,UN-30,10055,Test,Done,UN,Uniform,software,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,Medium,Done,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,03/Sep/21 6:36 AM,07/Sep/21 11:30 AM,08/Sep/21 5:36 AM,07/Sep/21 11:30 AM,,0,,,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,,,,,,,,,,,,,,UN-7,UN-25,,,,,,,,,,,{},,,,,,,0|i00074:,,UN Sprint 1,,,,,,,,In Progress
Verify the Tax 'Date Start' field with whether the calendar displays on clicking on the calendar icon,UN-29,10054,Test,Done,UN,Uniform,software,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,Medium,Done,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,03/Sep/21 6:15 AM,07/Sep/21 11:24 AM,09/Sep/21 5:04 AM,07/Sep/21 11:24 AM,,0,,,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,,,,,,,,,,,,,,UN-6,UN-25,,,,,,,,,,,{},,,,,,,0|i0005z:,,UN Sprint 1,,,,,,,,In Progress
"As an admin, I want to give my order status in tax field so that I can filter all taxes coming under that status",UN-28,10053,Story,Done,UN,Uniform,software,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,Medium,Done,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,03/Sep/21 6:04 AM,07/Sep/21 11:25 AM,09/Sep/21 3:24 AM,07/Sep/21 11:25 AM,,0,,,Manaswita panigrahi,612ef79b8bb88c006f3e36bb,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,UN-1,,,,,0|i0008w:zfi,,UN Sprint 1,,,,,,,,In Progress
